"Price","Displacement","BHP","Torque","Acceleration","TopSpeed","Weight","Length","Width","Height"
12585,1248,75,140,14.1,101,1172,4039,1735,1517
39995,6162,432,419,5.6,155,1890,4836,1918,1376
27695,2231,184,295,9.3,124,1855,4675,1850,1725
16670,1991,125,221,10.3,122,1427,4597,1788,1477
18645,1998,130,232,9.9,121,1655,4652,1836,1633
9595,1206,81,81,12.1,102,864,3640,1597,1522
35255,1398,86,272,9,99,1732,4498,1787,1439
39995,2998,236,399,7.4,144,2117,5066,1902,1488
17995,1368,140,170,9.2,126,1395,4520,1797,1497
30245,2777,178,265,12.8,115,2305,5218,1998,1818
11995,1242,69,75,14,101,965,3842,1676,1520
14590,1398,70,118,13.5,101,1145,3941,1728,1524
15395,1560,90,169,13.5,108,1329,4078,1766,1631
19045,1560,110,199,11.3,118,1440,4329,1789,1491
20255,1560,115,199,11.8,117,1298,4428,1826,1610
22195,1560,110,199,12.6,118,1525,4779,1860,1451
17050,1598,115,177,7.3,133,1223,3948,1715,1483
21450,1598,155,177,9.9,133,1420,4275,1810,1523
27600,1997,200,221,8.3,131,1856,4530,1871,1539
68462,6162,437,424,4.3,186,1460,4435,1844,1246
11495,1461,110,177,11.8,106,1205,4315,1822,1695
7995,1149,75,78,14.5,97,941,4058,1732,1518
198936,4499,562,398,3.4,198,1430,4527,1937,1211
227107,6262,660,503,3.7,208,1790,4905,1955,1380
12300,1248,95,150,11.7,111,980,3546,1627,1488
17725,1368,160,169,7.4,131,1075,3660,1630,1490
16490,875,105,106,12.3,112,1260,4147,1784,1667
17300,1368,140,169,8.9,126,1275,4336,1792,1498
15700,1598,105,213,13.4,102,1410,4390,1832,1845
11250,875,85,106,11.2,110,1050,3653,1643,1551
17495,1368,165,184,7.9,132,1100,4064,1726,1490
20695,1560,115,199,11.3,114,1390,4380,1828,1626
14845,999,80,77,14.9,103,1045,3969,1722,1468
19895,1997,140,236,8.9,129,1421,4358,1823,1484
20995,1997,140,236,9.1,129,1460,4556,1823,1505
23095,1999,250,250,6.5,154,1386,4566,1823,1505
27445,1997,163,250,9.5,126,1733,4820,1884,1764
25615,1999,203,221,8.2,137,1676,4768,1884,1658
26640,2199,150,258,9.8,128,1598,4750,1840,1470
21495,2199,150,258,8.5,135,1367,4300,1770,1470
26105,2199,150,258,9.7,118,1653,4570,1820,1685
20335,1339,98,123,12.5,113,1243,4395,1695,1435
14745,1339,98,94,11.8,113,1112,3900,1695,1525
9595,998,66,69,15.1,96,933,3665,1660,1500
12095,1396,99,101,12.9,106,1156,3995,1710,1490
17245,1396,89,162,13.5,106,1401,4300,1780,1470
20995,1685,136,240,10.6,124,1601,4740,1815,1470
21155,2497,168,289,14.5,112,2270,5125,1920,1925
14445,1396,89,162,14.5,104,1268,4100,1765,1600
20650,1995,134,236,10.2,112,1679,4410,1820,1660
20495,1591,138,123,9.7,125,1236,4220,1790,1399
41930,3696,320,265,6.4,149,1876,4635,1800,1600
51200,3696,320,265,6.8,149,2012,4865,1925,1680
38247,3696,320,265,5.9,155,1718,4655,1820,1387
44050,3696,320,265,6.2,155,1715,4945,1845,1500
67520,2995,380,339,4.9,171,1614,4470,1923,1308
40105,2993,240,369,7.1,149,1770,4961,1877,1460
39690,2179,200,332,8.8,134,1824,4966,1877,1480
65380,5000,510,461,4.9,155,1875,4961,1877,1460
75815,2995,340,332,5.9,155,1799,5252,1899,1457
22310,2360,168,162,10.7,116,1530,4448,1812,1663
45695,2987,247,420,8.2,126,2328,4828,1943,1792
25995,2777,197,339,12.9,107,2075,4223,1873,1840
19295,1582,126,192,10.8,120,1420,4505,1780,1485
21695,1685,134,239,10.2,125,1559,4845,1830,1455
10245,998,68,70,13.9,95,1015,3595,1595,1480
12695,1120,74,125,15.5,98,1191,4045,1720,1455
15600,1591,138,122,10,112,1245,4120,1785,1610
21535,1998,161,143,10.3,113,1525,4440,1855,1645
13695,1396,89,162,14,103,1345,4068,1765,1600
265865,6498,700,509,2.9,217,1575,4780,2030,1136
28195,2198,122,265,14.7,90,2120,4785,1790,1790
32300,2179,150,310,11.7,112,1710,4500,2005,1740
84695,4367,339,516,6.5,135,2360,4999,2073,1835
64995,2993,292,442,6.8,130,2115,4850,2073,1780
25995,1798,136,104,10.3,111,1370,4320,1765,1430
43745,2494,220,163,9.2,119,1730,4850,1840,1455
58416,4969,417,372,4.8,168,1700,4660,1815,1405
48495,3456,295,233,7.8,124,2110,4770,1885,1755
60550,3456,345,295,4.6,172,1436,4360,1850,1229
90750,4691,460,383,4.8,185,1880,4881,1915,1353
80070,2997,410,405,4.9,177,1900,5262,1948,1481
24695,2191,150,280,9.4,122,1605,4555,1840,1710
176000,3799,625,442,3.1,207,1336,4509,1908,1199
23360,1796,109,184,10.9,118,1475,4359,1786,1558
30350,2143,136,265,9.2,135,1565,4591,1770,1447
56575,6208,457,442,4.5,155,1730,4591,1770,1447
115660,5461,544,590,4.6,155,2135,5095,1871,1419
37620,1991,211,258,7.4,151,1680,4879,1854,1474
40730,2143,204,368,7.3,153,1735,4703,1786,1397
73720,5461,557,531,4.2,155,1845,4879,1854,1474
82945,2987,211,398,9.1,108,2500,4662,1760,1951
59465,2987,258,457,7.9,137,2455,5120,1934,1850
47385,2987,258,457,7.4,139,2175,4804,1926,1796
41955,2987,190,324,9.5,134,2110,4922,1922,1674
110785,5461,537,590,4.3,155,1845,4617,1877,1315
83495,4663,435,516,4.6,155,1785,4617,1877,1315
38300,1796,204,228,6.5,152,1475,4134,1810,1301
176895,6208,571,479,3.8,196,1620,4638,1939,1262
17120,1598,112,199,10.2,122,1185,3961,1683,1426
18310,1598,112,119,10.3,120,1200,3723,1683,1414
20300,1598,112,199,11.6,112,1305,4097,1789,1561
20774,1798,148,221,9.7,124,1450,4295,1770,1625
11054,1193,79,78,11.7,112,845,3710,1665,1490
33924,3200,197,239,9.7,111,2095,4385,1875,1870
99950,4799,367,370,4.5,170,1175,4147,1751,1248
45900,3700,280,282,5.5,140,950,4010,1720,1220
31995,3696,326,269,5.3,155,1496,4250,1845,1315
17690,1461,115,191,11.2,109,1295,4135,1765,1570
11250,1198,98,104,11.3,112,1040,3780,1675,1520
13500,1386,88,94,13.4,101,1150,4100,1690,1550
32445,2488,190,331,11,115,2090,4813,1848,1785
21295,1598,117,116,11.9,113,1297,4330,1780,1622
27790,1995,173,265,10,124,1650,4635,1790,1700
2e+05,4439,650,604,3,225,1198,4360,1910,1120
990000,5980,730,811,3.3,230,1350,4605,2036,1169
8999,1298,85,85,11.3,106,950,3720,1665,1550
9345,998,68,70,14.2,100,210,3430,1630,1465
18145,1598,120,120,10.7,126,1417,4037,1750,1387
15095,1560,92,161,13.3,113,1332,4149,1750,1555
14645,1598,120,118,10.9,118,1080,3965,1739,1460
26995,1997,200,221,8.5,118,1808,4365,1837,1639
18695,1560,115,203,10.2,121,1395,4253,1804,1457
24395,1997,150,260,11.1,129,1674,4400,1817,1426
19615,1560,112,180,12.3,118,1399,4500,1815,1498
21595,1560,112,177,12.6,114,1688,4530,1830,1638
96964,3800,400,324,4.7,183,1515,4491,1852,1294
38237,2706,265,206,5.8,164,1310,4374,1801,1282
68117,4806,420,379,5.7,162,2085,4846,1954,1708
82079,2997,420,383,5.1,178,1810,5015,1931,1418
10195,1597,110,109,12.6,118,1185,4310,1725,1435
8495,1597,111,109,11.5,118,1170,3905,1710,1420
7995,1149,75,77,13.9,98,965,3710,1643,1480
14345,1461,90,162,12,112,1071,4062,1731,1448
19800,1461,110,191,12.1,118,1215,4302,1808,1471
21450,1198,115,140,12.6,112,1491,4573,1845,1671
10350,1149,75,78,12.3,105,950,3687,1654,1470
229980,6592,563,575,4.8,155,2420,5569,1948,1556
352720,6749,453,531,5.8,150,2705,5612,1987,1566
333130,6749,453,531,5.8,155,2665,5612,1987,1598
26610,1968,140,236,10.9,120,1747,4850,1900,1720
17785,1197,105,129,11.3,114,1360,4282,1768,1576
19385,1395,140,184,8.2,131,1231,4271,1784,1444
9275,999,60,70,14.4,99,929,3557,1641,1478
16350,1197,105,129,10.3,121,1175,4482,1703,1461
13600,1598,105,184,10.9,117,1219,4000,1642,1498
20240,1395,140,184,8.1,134,1180,4659,1814,1461
14470,1197,105,129,10.9,114,1237,4214,1684,1607
18925,1197,105,129,11.8,109,1345,4223,1793,1691
17995,1998,155,265,0,105,2059,5125,1915,1845
24995,1998,200,151,7.6,130,1200,4240,1775,1425
27495,1995,150,146,10.6,118,1477,4595,1795,1735
30070,1998,150,258,9.7,120,1573,4775,1820,1605
23995,1998,147,258,9.3,120,1415,4450,1780,1615
18895,2393,166,167,11.7,115,1569,4500,1880,1695
11995,1328,84,81,14.1,87,1158,3665,1645,1705
10799,1242,94,87,12,109,1050,3775,1680,1590
12499,1242,94,87,12.3,103,1020,3850,1695,1510
13749,1586,136,118,8.7,121,1045,3890,1695,1510
15899,1586,120,115,11.5,109,1255,4150,1755,1620
18495,1364,89,151,12.5,112,1290,4275,1760,1450
24545,2231,150,250,9.5,127,1600,4710,1810,1480
9450,998,68,68,14.2,97,800,3415,1615,1465
24995,1998,200,151,7.7,140,1238,4240,1775,1285
11475,996,67,67,14.7,93,845,2985,1680,1500
35350,2982,171,302,11.7,109,2125,4760,1885,1890
62285,4461,286,479,8.9,130,2555,4950,1970,1865
24045,1798,98,104,10.4,112,1370,4460,1745,1490
26495,2231,150,250,9.6,118,1625,4570,1845,1705
19945,1598,130,118,11.7,115,1430,4460,1790,1630
13260,1329,98,92,11.7,109,1045,3885,1695,1510
12945,1229,70,85,14.9,102,1086,3698,1720,1484
10435,996,68,66,14.2,99,975,3740,1680,1590
37250,1400,150,273,8.7,100,1732,4498,1787,1439
22360,2231,163,258,9.9,117,1996,4596,1850,1761
26995,1998,280,295,5.9,155,1475,4466,1840,1482
14720,1229,85,85,13.6,107,1055,3999,1737,1488
18910,1598,189,169,6.8,140,1300,4040,1713,1488
18785,1248,75,132,16.9,99,1360,4288,1812,1615
45000,6162,431,405,4.9,155,1831,4940,1900,1470
22305,1598,115,114,12.5,115,1430,4467,1781,1645
20085,1968,140,236,9.4,123,1395,4278,1808,1486
28050,1984,210,206,7.8,147,1563,4423,1791,1444
20055,1598,105,184,10.7,119,1295,4255,1799,1452
19590,1598,105,184,12.1,116,1450,4204,1759,1592
19380,1390,160,177,8.3,137,1411,4644,1778,1482
23015,1798,160,184,8.5,137,1502,4769,1820,1470
50250,2967,240,367,8.3,147,2315,5179,1903,1450
26510,1984,210,207,6.9,149,1373,4256,1810,1404
28325,1968,170,258,9.8,130,1794,4854,1904,1720
25110,1390,160,177,9.2,123,1631,4433,1809,1703
43515,2967,245,406,7.8,135,2174,4795,1940,1732
21810,1598,105,185,12.8,114,1539,4397,1794,1634
10900,999,75,70,13.2,106,929,3540,1641,1489
28845,1984,136,258,10.2,127,1577,4628,1865,1484
34320,2400,215,309,7.6,143,1671,4851,1861,1493
30945,2400,215,309,7.5,143,1655,4628,1865,1484
31670,1984,163,295,9.9,130,1734,4823,1861,1547
34945,2400,215,309,8.4,130,1847,4627,1891,1713
33715,1984,163,295,9.6,127,1764,4838,1861,1604
